1,Badakhshan,36.7347725,70.8119953,0.387,29,67.5,57.3,NULL
2,Badghis,35.1671339,63.7695384,0.466,29,79.3,58.8,NULL
3,Baghlan,35.8042947,69.2877535,0.3,29,59.7,50.3,NULL
4,Balkh,36.7550603,66.8975372,0.301,29,55.7,54.1,NULL
5,Bamyan,34.8100067,67.8212104,0.325,29,61,53.3,NULL
6,Daykundi,33.669495,66.0463534,0.313,29,65.1,48.1,NULL
7,Farah,32.4464635,62.1454133,0.319,29,61.4,52,NULL
8,Faryab,36.0795613,64.905955,0.25,29,49.4,50.6,NULL
9,Ghazni,33.5450587,68.4173972,0.245,29,47.4,51.6,NULL
10,Ghor,34.0995776,64.905955,0.384,29,74.6,51.5,NULL
11,Helmand,31.3636474,63.9586111,0.261,29,61.8,42.2,NULL
12,Herat,11.6155109,104.3791912,0.353,29,63.3,55.8,NULL
13,Jawzjan,36.8969692,65.6658568,0.293,29,60.9,48.1,NULL
14,Kabul,34.5553494,69.207486,0.117,29,25.3,46.1,NULL
15,Kandahar,31.628871,65.7371749,0.437,29,72.1,60.7,NULL
16,Kapisa,34.9810572,69.6214562,0.28,29,53.6,52.3,NULL
17,Khost,33.3338472,69.9371673,0.296,29,57.8,51.1,NULL
18,Kunarha,34.8465893,71.097317,0.269,29,58.3,46.2,NULL
19,Kunduz,36.7285907,68.8680663,0.294,29,60.5,48.5,NULL
20,Laghman,34.6897687,70.1455805,0.369,29,70.4,52.4,NULL
21,Logar,34.0145518,69.1923916,0.187,29,41.4,45.2,NULL
22,Nangarhar,34.1718313,70.6216794,0.287,29,54.9,52.4,NULL
23,Nimroz,31.0261488,62.4504154,0.231,29,45.4,50.9,NULL
24,Nooristan,35.3250223,70.9071236,0.611,29,93.7,65.2,NULL
25,Paktika,32.2645386,68.5247149,0.137,29,28.1,48.6,NULL
26,Paktya,33.706199,69.3831079,0.218,29,45.2,48.3,NULL
27,Panjsher,35.5025772,69.9550338,0.12,29,25.8,46.6,NULL
28,Parwan,34.9630977,68.8108849,0.294,29,58.6,50.1,NULL
29,Samangan,35.9807296,67.5708536,0.35,29,64.3,54.4,NULL
30,Sar-E-Pul,35.6707473,66.0463534,0.341,29,67.8,50.3,NULL
31,Takhar,36.6698013,69.4784541,0.361,29,65.1,55.4,NULL
32,Urozgan,32.9271287,66.1415263,0.624,29,94.5,66,NULL
33,Wardak,34.3513494,68.2385339,0.34,29,67.9,50.1,NULL
34,Zabul,32.1918782,67.1894488,0.175,29,34.6,50.4,NULL
35,Bujumbura Mairie,-3.4146958,29.3598782,0.164,52,36.3,45.3,NULL
36,Nord,-3.373056,29.918886,0.501,52,85.7,58.4,NULL
41,Centre-Est,9.0630743,7.464915,0.473,52,83.6,56.5,NULL
43,Ouest,-3.373056,29.918886,0.499,52,87.8,56.8,NULL
47,Sud,14.6090537,121.0222565,0.422,52,78.9,53.5,NULL
50,Alibori,10.9681093,2.7779813,0.528,71,92.7,57,NULL
51,Atacora,10.7954931,1.6760691,0.454,71,85.7,53,NULL
52,Atlantique,6.6588391,2.2236667,0.278,71,57.3,48.5,NULL
53,Borgou,9.5340864,2.7779813,0.351,71,71.4,49.2,NULL
